BEL1,a,1
BEL1,h,2
BEL1,h,3
BEL1,a,4
BEL1,h,5
BEL1,a,6
BEL1,h,7
BEL1,a,8
BEL1,h,9
BEL1,h,10
BEL1,a,11
BEL1,a,12
BEL1,h,13
BEL1,a,14
BEL1,h,15
BEL1,a,16
BEL1,h,17
BEL1,a,18
GBA3,a,9
SPM4,h,1
SPM4,a,2
SPM4,h,3
SPM4,a,4
SPM4,h,5
SPM4,a,6
SPM4,h,7
SPM4,a,8
SPM4,h,9
SPM4,a,10
SPM4,h,11
SPM4,a,12
SPM4,h,13
SPM4,a,14
SPM4,h,15
SPM4,a,16
SPM4,h,17
SPM4,a,18
