# Generated with seed: 465365
game_week,home_team,away_team,division
4,SOS4,RAF2,Div 10
4,BRE2,EAS3,Div 11
4,BRX2,GWA3,Div 11
4,HUT2,SLO3,Div 11
4,OAK1,OCH5,Div 11
4,RAY5,GAL4,Div 11
4,BRF1,EPF1,Div 2
4,BRO1,AGH1,Div 2
4,GAL1,SWE1,Div 2
4,GBA1,WRI1,Div 2
4,PUR1,THB1,Div 2
4,EAS1,BOR1,Div 3
4,GWK1,GWA2,Div 3
4,NAV1,HIE1,Div 3
4,SPM2,RAN1,Div 3
4,WMO1,BAP2,Div 3
4,CSK1,GTO2,Div 4
4,CWR1,STO2,Div 4
4,HRO2,BRX1,Div 4
4,RAY2,CTI1,Div 4
4,WIL1,OCH2,Div 4
4,AGH2,HOH1,Div 5
4,RAF1,GAL2,Div 5
4,RET2,STA1,Div 5
4,SJB1,BEA2,Div 5
4,SWB2,LBA2,Div 5
4,EPF2,BAP3,Div 6
4,ILC2,SPM3,Div 6
4,SOS2,RAY3,Div 6
4,SWE2,TIL2,Div 6
4,THB2,DAN1,Div 6
4,BAP4,BEN1,Div 7
4,BOR2,EAS2,Div 7
4,IGF2,EHG2,Div 7
4,ILC3,BRO2,Div 7
4,TER2,GBA2,Div 7
4,AGH3,SJB2,Div 8
4,CHI1,WMO2,Div 8
4,HOH2,BRF2,Div 8
4,SWB3,OCH3,Div 8
4,WRI2,SLO2,Div 8
4,BAP5,NAV2,Div 9
4,GAL3,CSK2,Div 9
4,HAP2,SOS3,Div 9
4,OCH4,HUT1,Div 9
4,UPM1,BRE1,Div 9
4,BAP1,HRO1,Premier
4,GWA1,SPM1,Premier
4,LBA1,TER1,Premier
4,SLO1,RET1,Premier
4,TIL1,IGF1,Premier
5,BEA1,GTO1,Div 1
5,ILC1,OCH1,Div 1
5,RAY1,HAP1,Div 1
5,SOS1,EHG1,Div 1
5,SWB1,STO1,Div 1
5,BFL1,RAN2,Div 10
5,GTO3,WIL2,Div 10
5,ILC4,RAF2,Div 10
5,RAY4,HOH3,Div 10
5,UPM2,SOS4,Div 10
5,BRX2,BRE2,Div 11
5,EAS3,HUT2,Div 11
5,GAL4,OCH5,Div 11
5,GWA3,OAK1,Div 11
5,SLO3,RAY5,Div 11
5,BRO1,BRF1,Div 2
5,EPF1,THB1,Div 2
5,GBA1,AGH1,Div 2
5,SWE1,PUR1,Div 2
5,WRI1,GAL1,Div 2
5,BAP2,SPM2,Div 3
5,GWA2,BOR1,Div 3
5,HIE1,WMO1,Div 3
5,NAV1,EAS1,Div 3
5,RAN1,GWK1,Div 3
5,CTI1,BRX1,Div 4
5,GTO2,RAY2,Div 4
5,OCH2,CWR1,Div 4
5,STO2,HRO2,Div 4
5,WIL1,CSK1,Div 4
5,AGH2,RET2,Div 5
5,GAL2,LBA2,Div 5
5,HOH1,SWB2,Div 5
5,RAF1,BEA2,Div 5
5,STA1,SJB1,Div 5
5,BAP3,RAY3,Div 6
5,DAN1,EPF2,Div 6
5,SPM3,SOS2,Div 6
5,THB2,SWE2,Div 6
5,TIL2,ILC2,Div 6
5,BEN1,GBA2,Div 7
5,BOR2,BAP4,Div 7
5,EAS2,ILC3,Div 7
5,EHG2,BRO2,Div 7
5,IGF2,TER2,Div 7
5,BRF2,SWB3,Div 8
5,OCH3,AGH3,Div 8
5,SJB2,WRI2,Div 8
5,SLO2,CHI1,Div 8
5,WMO2,HOH2,Div 8
